iterations,fitness,time,fevals
0,29.0,0.001245806,793
10,29.0,0.002090034,1492
20,28.0,0.002733479,2180
30,28.0,0.003600646,2869
40,31.0,0.004470216,3562
50,32.0,0.00553766900001,4256
60,37.0,0.00649063800001,4952
70,32.0,0.00858844400001,5638
80,33.0,0.00917775700001,6335
90,34.0,0.00975592800001,7035
100,32.0,0.01056551,7749
110,35.0,0.011475227,8430
120,34.0,0.012100062,9118
130,36.0,0.012720322,9815
140,36.0,0.013367239,10512
150,35.0,0.014046177,11206
160,34.0,0.014622825,11897
170,35.0,0.021382324,12590
180,36.0,0.022392246,13275
190,37.0,0.023362923,13980
200,35.0,0.024290801,14656
210,35.0,0.02521435,15351
220,37.0,0.02596456,16040
230,37.0,0.027019509,16743
240,40.0,0.027783095,17440
250,40.0,0.028451784,18130
260,41.0,0.035985894,18840
270,38.0,0.036988745,19527
280,36.0,0.037960673,20223
290,39.0,0.038908012,20926
300,38.0,0.039613507,21616
310,39.0,0.040766781,22304
320,40.0,0.041606152,23005
330,39.0,0.042294418,23698
340,41.0,0.042905328,24385
350,40.0,0.043520027,25086
360,39.0,0.045525943,25793
370,42.0,0.046222128,26495
380,42.0,0.046804443,27203
390,41.0,0.04741346,27898
400,43.0,0.048116697,28588
410,42.0,0.048791184,29292
420,42.0,0.049427864,29985
430,42.0,0.050059452,30680
440,42.0,0.050673876,31387
450,42.0,0.052663165,32079
460,42.0,0.053400227,32780
470,42.0,0.054152815,33482
480,42.0,0.054710854,34165
490,43.0,0.055252874,34855
500,43.0,0.05596222,35555
510,42.0,0.056644585,36256
520,43.0,0.061429916,36958
530,42.0,0.062423027,37656
540,42.0,0.069674288,38350
550,42.0,0.070342508,39057
560,42.0,0.070997303,39753
570,42.0,0.071542906,40461
580,43.0,0.072071995,41176
590,42.0,0.072724442,41871
600,42.0,0.073482707,42568
610,42.0,0.074121862,43251
620,42.0,0.074922673,43952
630,42.0,0.075544909,44648
640,42.0,0.077974948,45348
650,41.0,0.078835575,46053
660,41.0,0.07944949,46761
670,41.0,0.080091583,47460
680,42.0,0.084915922,48145
690,43.0,0.085688332,48846
700,43.0,0.086485978,49537
710,42.0,0.087122155,50242
720,44.0,0.087754976,50951
730,43.0,0.090453036,51653
740,43.0,0.091219228,52348
750,43.0,0.0922271,53047
760,44.0,0.093036862,53748
770,47.0,0.093744762,54457
780,48.0,0.094394304,55154
790,70.0,0.095314192,55843
800,71.0,0.096296098,56534
810,71.0,0.097432021,57234
820,71.0,0.098237464,57931
830,72.0,0.100394638,58625
840,69.0,0.101094943,59313
850,71.0,0.101699943,60020
860,70.0,0.102222911,60730
870,71.0,0.102796014,61423
880,71.0,0.103375313,62124
890,72.0,0.103948891,62817
900,71.0,0.104697015,63508
910,71.0,0.105343228,64213
920,70.0,0.111822095,64907
930,69.0,0.112617255,65601
940,69.0,0.113455976,66294
950,70.0,0.114108931,66999
960,69.0,0.114851858,67695
970,70.0,0.115749184,68394
980,70.0,0.11895253,69087
990,70.0,0.119760291,69795
1000,71.0,0.120635009,70502
1010,71.0,0.121438393,71216
1020,71.0,0.123267456,71906
1030,72.0,0.123838565,72606
1040,69.0,0.124411165,73317
1050,71.0,0.124916319,74015
1060,68.0,0.125496411,74714
1070,69.0,0.126123844,75417
1080,68.0,0.126962082,76104
1090,70.0,0.127813151,76799
1100,71.0,0.128605711,77508
1110,72.0,0.132719623,78219
1120,72.0,0.133519091,78912
1130,71.0,0.136532088,79609
1140,72.0,0.137102076,80308
1150,72.0,0.138918675,80990
1160,72.0,0.139591279,81683
1170,72.0,0.140344481,82376
1180,70.0,0.140946582,83074
1190,71.0,0.141471851,83783
1200,70.0,0.142072437,84469
1210,67.0,0.14388531,85166
1220,67.0,0.144530297,85868
1230,67.0,0.145854948,86568
1240,71.0,0.146657649,87278
1250,69.0,0.148429824,87978
1260,68.0,0.149079472,88687
1270,69.0,0.149611363,89384
1280,68.0,0.150197597,90090
1290,70.0,0.150853136,90799
1300,70.0,0.152558398,91514
1310,70.0,0.15306973,92208
1320,70.0,0.15359785,92892
1330,70.0,0.154793588,93585
1340,71.0,0.155314316,94280
1350,71.0,0.155911552,94985
1360,73.0,0.156483736,95692
1370,71.0,0.1570634,96386
1380,71.0,0.157594824,97094
1390,72.0,0.158088247,97795
1400,73.0,0.164766136,98504
1410,74.0,0.165453748,99207
1420,74.0,0.166014344,99899
1430,72.0,0.166542558,100590
1440,73.0,0.167051989,101289
1450,72.0,0.167596534,101985
1460,72.0,0.168101371,102679
1470,72.0,0.168649077,103371
1480,71.0,0.169178344,104063
1490,71.0,0.170914195,104765
1500,71.0,0.171493597,105465
1510,70.0,0.172008316,106150
1520,70.0,0.172532703,106835
1530,71.0,0.173047245,107521
1540,71.0,0.173783455,108226
1550,72.0,0.174311923,108922
1560,73.0,0.174838785,109609
1570,71.0,0.17538572,110302
1580,70.0,0.177189617,111000
1590,70.0,0.177715915,111696
1600,71.0,0.178561094,112393
1610,72.0,0.179230452,113089
1620,71.0,0.179751445,113791
1630,72.0,0.180257756,114488
1640,72.0,0.180776486,115183
1650,72.0,0.181345442,115887
1660,72.0,0.182083966,116586
1670,72.0,0.182763177,117292
1680,73.0,0.189516676,117975
1690,73.0,0.190278493,118666
1700,72.0,0.190860644,119359
1710,73.0,0.191536355,120050
1720,74.0,0.192421848,120753
1730,73.0,0.193172812,121461
1740,76.0,0.193725205,122158
1750,74.0,0.19428086,122854
1760,72.0,0.195054838,123559
1770,73.0,0.197001326,124257
1780,73.0,0.197734998,124954
1790,73.0,0.20243066,125665
1800,72.0,0.203017877,126378
1810,72.0,0.203533438,127061
1820,71.0,0.204079322,127758
1830,71.0,0.20453413,128455
1840,73.0,0.2051496,129151
1850,71.0,0.206262495,129861
1860,74.0,0.20674579,130549
1870,72.0,0.208622904,131246
1880,74.0,0.209117384,131950
1890,77.0,0.209699535,132638
1900,72.0,0.210197446,133333
1910,74.0,0.210708646,134029
1920,74.0,0.215792187,134719
1930,74.0,0.216569819,135413
1940,77.0,0.217267078,136107
1950,74.0,0.218229067,136804
1960,73.0,0.22002058,137509
1970,73.0,0.220521181,138209
1980,74.0,0.221279134,138882
1990,75.0,0.221926502,139574
2000,74.0,0.22258978,140280
2010,74.0,0.223147194,140962
2020,73.0,0.223625395,141662
2030,73.0,0.224141404,142365
2040,75.0,0.22485762,143063
2050,75.0,0.225581614,143772
2060,73.0,0.227431058,144469
2070,74.0,0.227994858,145167
