iterations,fitness,time,fevals
0,22.0,0.095173982,1000
10,23.0,0.186156195,2100
20,36.0,0.275177375,3200
30,36.0,0.356770433,4300
40,39.0,0.432235456,5400
50,50.0,0.506012096,6500
60,52.0,0.590231404,7600
70,55.0,0.661737439,8700
80,57.0,0.727369184,9800
90,57.0,0.791548336,10900
100,59.0,0.855054924,12000
110,58.0,0.915775911,13100
120,58.0,0.977508269,14200
130,56.0,1.04014255,15300
140,58.0,1.100571399,16400
150,61.0,1.161351616,17500
160,62.0,1.2217016,18600
170,58.0,1.285319257,19700
180,60.0,1.359186637,20800
190,73.0,1.425901033,21900
200,62.0,1.495125539,23000
210,60.0,1.577885857,24100
220,62.0,1.641533325,25200
230,59.0,1.71198496,26300
240,62.0,1.778675072,27400
250,58.0,1.848989015,28500
260,62.0,1.916327029,29600
270,62.0,1.980383499,30700
280,63.0,2.042639755,31800
290,62.0,2.111133985,32900
300,61.0,2.174374843,34000
310,73.0,2.236446887,35100
320,68.0,2.298911418,36200
330,62.0,2.362966758,37300
340,62.0,2.440834666,38400
350,61.0,2.52513485,39500
360,62.0,2.620417781,40600
370,63.0,2.705024492,41700
380,62.0,2.797568468,42800
390,61.0,2.878199135,43900
400,62.0,2.941636533,45000
410,63.0,2.999269298,46100
420,63.0,3.060813724,47200
430,65.0,3.135585456,48300
440,63.0,3.194348697,49400
450,62.0,3.251433573,50500
460,63.0,3.310684761,51600
470,62.0,3.370047512,52700
480,65.0,3.430091993,53800
490,64.0,3.488431602,54900
500,66.0,3.552589055,56000
510,63.0,3.611220936,57100
520,63.0,3.674338803,58200
530,65.0,3.738508481,59300
540,63.0,3.79562628,60400
550,67.0,3.85315557,61500
560,64.0,3.909266361,62600
570,63.0,3.966417242,63700
580,63.0,4.031215928,64800
590,63.0,4.089432957,65900
600,62.0,4.14793239,67000
610,63.0,4.204931754,68100
620,63.0,4.26468548,69200
630,64.0,4.322222896,70300
640,64.0,4.379344608,71400
650,73.0,4.437194077,72500
660,64.0,4.497237988,73600
670,77.0,4.561945949,74700
680,65.0,4.622876513,75800
690,63.0,4.680992822,76900
700,62.0,4.739885526,78000
710,65.0,4.800182215,79100
720,63.0,4.85932648,80200
730,65.0,4.91685949,81300
740,66.0,4.975340863,82400
750,65.0,5.033829114,83500
760,68.0,5.093304569,84600
770,77.0,5.149419287,85700
780,77.0,5.207139185,86800
790,67.0,5.264812048,87900
800,72.0,5.326460728,89000
810,70.0,5.385814649,90100
820,77.0,5.445406398,91200
830,76.0,5.509068632,92300
840,67.0,5.568949067,93400
850,77.0,5.627806682,94500
860,68.0,5.685634966,95600
870,77.0,5.743391005,96700
880,68.0,5.814825654,97800
890,78.0,5.873317395,98900
900,76.0,5.933110776,100000
910,77.0,5.991913511,101100
920,71.0,6.048993648,102200
930,77.0,6.107244281,103300
940,69.0,6.169004837,104400
950,77.0,6.229080173,105500
960,68.0,6.289960115,106600
970,72.0,6.348915869,107700
980,77.0,6.411136973,108800
990,77.0,6.473117954,109900
1000,77.0,6.543617251,111000
1010,68.0,6.606029153,112100
1020,77.0,6.668437725,113200
1030,71.0,6.732208865,114300
1040,75.0,6.795153119,115400
1050,77.0,6.853950659,116500
1060,66.0,6.913455949,117600
1070,69.0,6.973617077,118700
1080,78.0,7.035060465,119800
1090,77.0,7.102555025,120900
1100,69.0,7.166360666,122000
1110,68.0,7.23166411,123100
1120,68.0,7.293581217,124200
1130,77.0,7.353488478,125300
1140,68.0,7.423737922,126400
1150,69.0,7.49688195,127500
1160,69.0,7.558718617,128600
1170,68.0,7.623836075,129700
1180,68.0,7.687109595,130800
1190,68.0,7.75260528,131900
1200,65.0,7.821856752,133000
1210,66.0,7.885041176,134100
1220,67.0,7.947867832,135200
1230,66.0,8.010993921,136300
1240,66.0,8.071647284,137400
1250,67.0,8.131948864,138500
1260,68.0,8.190193671,139600
1270,67.0,8.252703174,140700
1280,75.0,8.318839357,141800
1290,66.0,8.395767794,142900
1300,66.0,8.477087822,144000
1310,67.0,8.568692719,145100
1320,67.0,8.661391347,146200
1330,68.0,8.739409613,147300
1340,66.0,8.802651812,148400
1350,67.0,8.873183472,149500
1360,69.0,8.946829861,150600
1370,70.0,9.010456009,151700
1380,68.0,9.07574435,152800
1390,66.0,9.139630408,153900
1400,69.0,9.204398593,155000
1410,70.0,9.268787772,156100
1420,68.0,9.328067334,157200
1430,67.0,9.394141501,158300
1440,68.0,9.460438992,159400
1450,69.0,9.520022443,160500
1460,67.0,9.579942301,161600
1470,66.0,9.636633662,162700
1480,70.0,9.695433459,163800
1490,66.0,9.75565077,164900
1500,69.0,9.816008157,166000
1510,68.0,9.87658776,167100
1520,68.0,9.942017407,168200
1530,67.0,10.000953447,169300
1540,68.0,10.057858191,170400
1550,68.0,10.116238193,171500
1560,66.0,10.174652467,172600
1570,68.0,10.236418813,173700
1580,67.0,10.294871037,174800
1590,74.0,10.357938854,175900
1600,77.0,10.424704974,177000
1610,77.0,10.482688535,178100
1620,78.0,10.539733945,179200
1630,70.0,10.596605198,180300
1640,70.0,10.653921712,181400
1650,76.0,10.710228116,182500
1660,77.0,10.775421623,183600
1670,78.0,10.885153265,184700
1680,85.0,10.942043296,185800
1690,80.0,11.00213687,186900
1700,70.0,11.060445104,188000
1710,70.0,11.117117722,189100
1720,70.0,11.174076816,190200
1730,69.0,11.232974175,191300
1740,76.0,11.290789959,192400
1750,74.0,11.349102875,193500
1760,69.0,11.40967205,194600
1770,71.0,11.467295416,195700
1780,71.0,11.526124333,196800
1790,69.0,11.584117488,197900
1800,70.0,11.64347897,199000
1810,71.0,11.704555244,200100
1820,70.0,11.762413042,201200
1830,68.0,11.822108956,202300
1840,78.0,11.880691483,203400
1850,70.0,11.942726856,204500
1860,69.0,12.002857344,205600
1870,70.0,12.061551276,206700
1880,70.0,12.119409887,207800
1890,71.0,12.181813708,208900
1900,76.0,12.237931227,210000
1910,69.0,12.297633781,211100
1920,70.0,12.364334691,212200
1930,70.0,12.430647864,213300
1940,70.0,12.496767003,214400
1950,70.0,12.556133841,215500
1960,68.0,12.614849525,216600
1970,79.0,12.677161342,217700
1980,69.0,12.7378881,218800
1990,70.0,12.798146144,219900
2000,70.0,12.856521369,221000
2010,71.0,12.91748204,222100
2020,70.0,12.976141692,223200
2030,70.0,13.031816563,224300
2040,70.0,13.088699552,225400
2050,71.0,13.143412115,226500
2060,70.0,13.200376172,227600
2070,69.0,13.256780189,228700
2080,70.0,13.316324935,229800
2090,69.0,13.379695086,230900
2100,70.0,13.442553378,232000
2110,70.0,13.497667991,233100
2120,71.0,13.554044154,234200
2130,69.0,13.610891442,235300
2140,70.0,13.668466239,236400
2150,70.0,13.726134212,237500
2160,71.0,13.787725123,238600
2170,70.0,13.851356627,239700
2180,68.0,13.923846269,240800
2190,71.0,14.012115299,241900
2200,69.0,14.088959418,243000
2210,68.0,14.161666465,244100
2220,69.0,14.222612222,245200
2230,69.0,14.281017505,246300
2240,71.0,14.34427329,247400
2250,71.0,14.412867846,248500
2260,71.0,14.507461462,249600
2270,70.0,14.57429867,250700
2280,71.0,14.646424401,251800
2290,72.0,14.711413726,252900
2300,70.0,14.77590452,254000
2310,70.0,14.841453673,255100
2320,70.0,14.910292987,256200
2330,70.0,14.972806115,257300
2340,73.0,15.03736378,258400
2350,71.0,15.101471374,259500
2360,70.0,15.163615325,260600
2370,70.0,15.226576088,261700
2380,71.0,15.287721788,262800
2390,70.0,15.352977652,263900
2400,72.0,15.411907793,265000
2410,70.0,15.469406568,266100
2420,69.0,15.525393164,267200
2430,69.0,15.582838092,268300
2440,71.0,15.641530635,269400
2450,71.0,15.700554508,270500
2460,70.0,15.758384091,271600
2470,70.0,15.814826598,272700
2480,70.0,15.873358176,273800
2490,70.0,15.937114614,274900
2500,70.0,15.999237144,276000
2510,70.0,16.060778976,277100
2520,70.0,16.138097425,278200
2530,70.0,16.22137205,279300
2540,70.0,16.287401936,280400
2550,69.0,16.363314452,281500
2560,69.0,16.42518768,282600
2570,68.0,16.492768135,283700
2580,70.0,16.560963844,284800
2590,70.0,16.626167526,285900
2600,70.0,16.693845927,287000
2610,69.0,16.754638678,288100
2620,70.0,16.817720418,289200
2630,70.0,16.877350222,290300
2640,71.0,16.933959874,291400
2650,70.0,16.99235842,292500
2660,70.0,17.052004283,293600
2670,69.0,17.113510004,294700
2680,71.0,17.174503036,295800
2690,69.0,17.235433462,296900
2700,70.0,17.292846818,298000
2710,70.0,17.355970961,299100
2720,69.0,17.415728375,300200
2730,69.0,17.475558147,301300
2740,69.0,17.534512736,302400
2750,70.0,17.606273898,303500
2760,69.0,17.670589496,304600
2770,72.0,17.734063612,305700
2780,69.0,17.796302574,306800
2790,71.0,17.858058392,307900
2800,71.0,17.919915917,309000
2810,70.0,17.980889128,310100
2820,72.0,18.040531583,311200
2830,70.0,18.103380688,312300
2840,69.0,18.163301501,313400
2850,77.0,18.224411822,314500
2860,77.0,18.288727924,315600
2870,70.0,18.346454448,316700
2880,70.0,18.41283987,317800
2890,71.0,18.470726727,318900
2900,70.0,18.529466019,320000
2910,71.0,18.58713069,321100
2920,70.0,18.647031205,322200
2930,70.0,18.703216511,323300
2940,70.0,18.76067922,324400
2950,70.0,18.822709967,325500
2960,69.0,18.885002439,326600
2970,70.0,18.947367822,327700
2980,77.0,19.023268319,328800
2990,70.0,19.141818308,329900
3000,69.0,19.219727546,331000
3010,69.0,19.294924838,332100
3020,71.0,19.396274715,333200
3030,71.0,19.490481944,334300
3040,77.0,19.581371021,335400
3050,70.0,19.670847403,336500
3060,68.0,19.747454286,337600
3070,70.0,19.830308751,338700
3080,70.0,19.900337853,339800
3090,70.0,19.965163255,340900
3100,70.0,20.022200171,342000
3110,70.0,20.082519491,343100
3120,70.0,20.160907169,344200
3130,71.0,20.232370536,345300
3140,69.0,20.307093347,346400
3150,72.0,20.378405202,347500
3160,70.0,20.447284075,348600
3170,80.0,20.506036375,349700
3180,70.0,20.570097726,350800
3190,72.0,20.63675328,351900
3200,68.0,20.697585469,353000
3210,70.0,20.765048946,354100
3220,70.0,20.822119596,355200
3230,70.0,20.880228902,356300
3240,69.0,20.939556159,357400
3250,69.0,20.997579957,358500
3260,69.0,21.055708382,359600
3270,68.0,21.114637361,360700
3280,71.0,21.172538289,361800
3290,78.0,21.235526981,362900
3300,69.0,21.295775838,364000
3310,73.0,21.357408449,365100
3320,70.0,21.416296825,366200
3330,70.0,21.476106301,367300
3340,69.0,21.536484229,368400
3350,69.0,21.596276517,369500
3360,72.0,21.65452794,370600
3370,70.0,21.717267822,371700
3380,71.0,21.779736804,372800
3390,69.0,21.842564709,373900
3400,71.0,21.899055283,375000
3410,73.0,21.958331598,376100
3420,69.0,22.020783995,377200
3430,77.0,22.080139435,378300
3440,76.0,22.144141479,379400
3450,71.0,22.204513045,380500
3460,76.0,22.267399617,381600
3470,81.0,22.333121116,382700
3480,71.0,22.391865238,383800
3490,76.0,22.458589892,384900
