iterations,fitness,time,fevals
0,12.0,5.37889999999e-05,11
10,14.0,0.000122899,21
20,14.0,0.000175219,31
30,14.0,0.00022944,41
40,14.0,0.000304766,51
50,14.0,0.000356674,61
60,14.0,0.00041118,71
70,17.0,0.000466328,81
80,17.0,0.000522632,91
90,17.0,0.000587176,101
100,17.0,0.00067072,111
110,17.0,0.000737129,121
120,17.0,0.000788091,131
130,17.0,0.000838889,141
140,17.0,0.000891536,151
150,17.0,0.00094518,161
160,17.0,0.000995134,171
170,17.0,0.001050208,181
180,17.0,0.001103559,191
190,17.0,0.001204699,201
200,17.0,0.001270689,211
210,17.0,0.001323086,221
220,17.0,0.001380409,231
230,17.0,0.001435125,241
240,17.0,0.001486956,251
250,18.0,0.001539018,261
260,18.0,0.001590612,271
270,18.0,0.001642253,281
280,18.0,0.001694704,291
290,19.0,0.001749228,301
300,19.0,0.001801018,311
310,19.0,0.001855431,321
320,19.0,0.001934064,331
330,19.0,0.002004774,341
340,19.0,0.002057097,351
350,19.0,0.002109546,361
360,19.0,0.002160216,371
370,19.0,0.002214198,381
380,19.0,0.002269165,391
390,20.0,0.002328963,401
400,20.0,0.002382922,411
410,20.0,0.002445804,421
420,20.0,0.002501237,431
430,20.0,0.00275425,441
440,26.0,0.002911529,451
450,26.0,0.002971105,461
460,26.0,0.003033986,471
470,26.0,0.003109406,481
480,27.0,0.00321073,491
490,27.0,0.00326566,501
500,27.0,0.003317142,511
510,27.0,0.003368724,521
520,27.0,0.003423355,531
530,27.0,0.003486296,541
540,27.0,0.003539436,551
550,27.0,0.003596393,561
560,27.0,0.003667527,571
570,27.0,0.003719824,581
580,27.0,0.003771304,591
590,27.0,0.003825536,601
600,27.0,0.003877046,611
610,27.0,0.003928996,621
620,27.0,0.003994992,631
630,27.0,0.004051173,641
640,27.0,0.004105872,651
650,27.0,0.004169272,661
660,27.0,0.004226889,671
670,27.0,0.004360685,681
680,27.0,0.004471854,691
690,27.0,0.004553325,701
700,27.0,0.004611247,711
710,27.0,0.004670867,721
720,27.0,0.004739173,731
730,27.0,0.004815356,741
740,27.0,0.00594145,751
750,27.0,0.005992001,761
760,27.0,0.006041192,771
770,27.0,0.006176262,781
780,27.0,0.006228405,791
790,29.0,0.006282022,801
800,29.0,0.006339254,811
810,29.0,0.006393205,821
820,29.0,0.006444183,831
830,29.0,0.006541705,841
840,29.0,0.006593745,851
850,29.0,0.006647935,861
860,29.0,0.006734876,871
870,29.0,0.006820734,881
880,29.0,0.006887901,891
890,29.0,0.006941697,901
900,29.0,0.007002555,911
910,29.0,0.007053749,921
920,29.0,0.007104688,931
930,29.0,0.007156696,941
940,29.0,0.007214893,951
950,29.0,0.007359316,961
960,29.0,0.007498295,971
970,30.0,0.00759464,981
980,30.0,0.007646636,991
990,30.0,0.007770773,1001
1000,30.0,0.007825483,1011
1010,30.0,0.007889662,1021
1020,30.0,0.007942498,1031
1030,30.0,0.007997498,1041
1040,30.0,0.008053686,1051
1050,30.0,0.008177168,1061
1060,32.0,0.008244752,1071
1070,32.0,0.008298135,1081
1080,32.0,0.008351295,1091
1090,34.0,0.008403195,1101
1100,37.0,0.008457053,1111
1110,37.0,0.008528609,1121
1120,38.0,0.008629643,1131
1130,38.0,0.008723906,1141
1140,38.0,0.008879792,1151
1150,38.0,0.008939793,1161
1160,38.0,0.009009171,1171
1170,38.0,0.009115083,1181
1180,38.0,0.009249276,1191
1190,38.0,0.009340694,1201
1200,38.0,0.009393977,1211
1210,39.0,0.009453054,1221
1220,39.0,0.009542612,1231
1230,39.0,0.009626411,1241
1240,39.0,0.009676546,1251
1250,39.0,0.009763232,1261
1260,39.0,0.009820557,1271
1270,39.0,0.00987191,1281
1280,39.0,0.009936231,1291
1290,39.0,0.009993709,1301
1300,39.0,0.010048057,1311
1310,39.0,0.010103268,1321
1320,39.0,0.010155281,1331
1330,39.0,0.010206945,1341
1340,40.0,0.01025812,1351
1350,40.0,0.010309819,1361
1360,40.0,0.010484843,1371
1370,40.0,0.010549328,1381
1380,40.0,0.010607836,1391
1390,40.0,0.01066004,1401
1400,40.0,0.010714728,1411
1410,40.0,0.01077104,1421
1420,40.0,0.010835072,1431
1430,40.0,0.01089029,1441
1440,40.0,0.010959442,1451
1450,40.0,0.011013964,1461
1460,40.0,0.011071302,1471
1470,40.0,0.011123775,1481
1480,42.0,0.01117729,1491
1490,42.0,0.011227285,1501
1500,42.0,0.011276553,1511
1510,42.0,0.011386172,1521
1520,44.0,0.011478417,1531
1530,44.0,0.011559981,1541
1540,44.0,0.011679149,1551
1550,45.0,0.017984996,1561
1560,46.0,0.018079864,1571
1570,52.0,0.018142612,1581
1580,52.0,0.018199799,1591
1590,52.0,0.018263798,1601
1600,52.0,0.018332765,1611
1610,52.0,0.01838523,1621
1620,52.0,0.01847741,1631
1630,53.0,0.018533283,1641
1640,53.0,0.018624846,1651
1650,54.0,0.018680232,1661
1660,54.0,0.018741608,1671
1670,54.0,0.018800284,1681
1680,54.0,0.018851984,1691
1690,54.0,0.018905266,1701
1700,54.0,0.019016972,1711
