iterations,fitness,time,fevals
0,10.0,2.2135e-05,11
10,14.0,4.6072e-05,21
20,14.0,5.80499999998e-05,31
30,14.0,7.02149999992e-05,41
40,14.0,8.05569999986e-05,51
50,19.0,9.16279999998e-05,61
60,19.0,0.000103514000001,71
70,19.0,0.000114034000001,81
80,19.0,0.000124523,91
90,19.0,0.000135890999999,101
100,20.0,0.000147026999999,111
110,20.0,0.000172505999998,121
120,20.0,0.000184269999998,131
130,20.0,0.000195998999999,141
140,22.0,0.000208551999998,151
150,22.0,0.000219176999998,161
160,22.0,0.000229557999997,171
170,22.0,0.000239292999996,181
180,22.0,0.000261681999998,191
190,22.0,0.000275107999997,201
200,22.0,0.000306920999996,211
210,24.0,0.000331569999997,221
220,24.0,0.000343066999998,231
230,24.0,0.000357616999997,241
240,24.0,0.000369123999997,251
250,24.0,0.000380962999996,261
260,24.0,0.000409589999995,271
270,24.0,0.000435567999995,281
280,24.0,0.000445944999996,291
290,24.0,0.000455316999997,301
300,24.0,0.000463888999997,311
310,24.0,0.000475229999997,321
320,24.0,0.000488408999997,331
330,25.0,0.000503007999997,341
340,25.0,0.000514094999998,351
350,25.0,0.000524079999998,361
360,25.0,0.000534866999999,371
370,25.0,0.000545490999999,381
380,25.0,0.000557278999999,391
390,25.0,0.000568691999998,401
400,25.0,0.000580897999999,411
410,25.0,0.000591412,421
420,25.0,0.000601418,431
430,25.0,0.000614164,441
440,25.0,0.000624937,451
450,25.0,0.000635559999999,461
460,25.0,0.000646387999998,471
470,25.0,0.000659518999999,481
480,25.0,0.000684225999999,491
490,26.0,0.0006957,501
500,26.0,0.00070607,511
510,27.0,0.000716361999999,521
520,27.0,0.000726906999999,531
530,27.0,0.000737920999999,541
540,27.0,0.000752311999999,551
550,27.0,0.000762427,561
560,27.0,0.000772262,571
570,27.0,0.000782356,581
580,30.0,0.000792707,591
590,30.0,0.000802700000001,601
600,30.0,0.000813117000002,611
610,30.0,0.000824961000001,621
620,30.0,0.000836361000001,631
630,30.0,0.000846787,641
640,30.0,0.000868798999999,651
650,30.0,0.000880109999999,661
660,30.0,0.000890850999999,671
670,30.0,0.000900830999999,681
680,30.0,0.000914782999999,691
690,30.0,0.000925551,701
700,30.0,0.000935768,711
710,30.0,0.000946022999999,721
720,30.0,0.000956191999999,731
730,30.0,0.000980376999999,741
740,30.0,0.000991643999999,751
750,30.0,0.00100697,761
760,30.0,0.001017236,771
770,30.0,0.00102771,781
780,30.0,0.001037533,791
790,30.0,0.001047987,801
800,30.0,0.00107107,811
810,30.0,0.001083112,821
820,30.0,0.001094586,831
830,30.0,0.001103599,841
840,30.0,0.00111363,851
850,30.0,0.00113718,861
860,30.0,0.001150977,871
