iterations,fitness,time,fevals
0,545.0,0.011192538,577
10,543.0,0.018727325,1074
20,546.0,0.0283973,1554
30,536.0,0.041156288,2029
40,544.0,0.045846694,2499
50,548.0,0.054336702,2996
60,558.0,0.086475715,3479
70,549.0,0.09127801,3966
80,545.0,0.10008191,4459
90,545.0,0.117346961,4956
100,541.0,0.125915147,5444
110,553.0,0.136787329,5919
120,551.0,0.139313291,6408
130,541.0,0.15024818,6884
140,545.0,0.158039919,7358
150,543.0,0.165946895,7832
160,545.0,0.171804736,8313
170,551.0,0.179849509,8807
180,545.0,0.188916232,9293
190,545.0,0.195741011,9792
200,543.0,0.20411624,10278
210,545.0,0.211482528,10764
220,547.0,0.213050906,11242
230,547.0,0.219444567,11734
240,555.0,0.226208004,12219
250,551.0,0.233388463,12689
260,551.0,0.240932767,13166
270,555.0,0.244341865,13651
280,547.0,0.247367338,14125
290,545.0,0.25044381,14606
300,545.0,0.258695157,15098
310,547.0,0.260424129,15576
320,543.0,0.267810079,16057
330,557.0,0.275226175,16539
340,547.0,0.282611756,17029
350,537.0,0.285562881,17513
360,545.0,0.288251559,18005
370,547.0,0.296778126,18486
380,545.0,0.303555497,18972
390,547.0,0.306395927,19456
400,543.0,0.311867879,19937
410,545.0,0.313475754,20420
420,545.0,0.319632086,20912
430,553.0,0.322409753,21385
440,550.0,0.330230339,21883
450,554.0,0.333138875,22361
460,553.0,0.336666892,22847
470,557.0,0.344754311,23353
480,553.0,0.351995229,23846
490,551.0,0.358069085,24326
500,551.0,0.36601485,24817
510,551.0,0.367648316,25295
520,553.0,0.45267489,25776
530,549.0,0.460435926,26255
540,551.0,0.467117898,26724
550,551.0,0.470189042,27202
560,549.0,0.478554278,27678
570,551.0,0.485069459,28155
580,551.0,0.488003452,28641
590,553.0,0.492786126,29139
600,551.0,0.494733741,29617
610,551.0,0.500952483,30107
620,551.0,0.508303881,30603
630,547.0,0.51133747,31079
640,549.0,0.514030375,31559
650,549.0,0.52076106,32042
660,555.0,0.528443102,32518
