iterations,fitness,time,fevals
0,556.0,13.248113587,1000
10,593.0,25.941189642,2100
20,604.0,38.393224156,3200
30,648.0,50.316842357,4300
40,668.0,62.410873896,5400
50,688.0,73.39034215,6500
60,702.0,84.512367838,7600
70,722.0,95.220968161,8700
80,730.0,105.674910111,9800
90,746.0,115.977295454,10900
100,756.0,126.064642664,12000
110,752.0,136.11753534,13100
120,746.0,146.201276749,14200
130,756.0,156.730259597,15300
140,756.0,166.323143963,16400
150,758.0,176.37762842,17500
160,758.0,186.191041004,18600
170,762.0,196.074943224,19700
180,764.0,206.000827776,20800
190,750.0,215.86349164,21900
200,760.0,225.722891189,23000
210,762.0,235.546850819,24100
220,758.0,245.970913884,25200
230,762.0,255.631241966,26300
240,760.0,265.816924797,27400
250,764.0,275.688144873,28500
260,760.0,285.579750121,29600
270,764.0,295.5210701,30700
280,764.0,305.26198411,31800
290,768.0,315.072629931,32900
300,768.0,324.929140679,34000
310,764.0,335.252767413,35100
320,766.0,344.794907348,36200
330,770.0,354.812779684,37300
340,774.0,364.541218307,38400
350,770.0,374.497697202,39500
360,764.0,384.368517762,40600
370,760.0,394.261475277,41700
380,772.0,404.119384115,42800
390,770.0,413.901138415,43900
400,772.0,424.141694028,45000
410,770.0,433.798853191,46100
420,774.0,443.705480496,47200
430,770.0,453.465462885,48300
440,776.0,463.378294572,49400
450,772.0,473.323855098,50500
460,776.0,483.048690808,51600
470,766.0,492.89324784,52700
480,770.0,502.739357036,53800
490,768.0,513.197442839,54900
500,770.0,522.72153779,56000
510,772.0,532.618953723,57100
520,766.0,542.37526284,58200
530,764.0,552.306178048,59300
540,776.0,562.312715476,60400
550,768.0,572.048015966,61500
560,770.0,581.806691408,62600
570,770.0,591.582128127,63700
580,771.0,601.846519769,64800
590,776.0,611.379398832,65900
600,764.0,621.345196151,67000
610,768.0,631.225954463,68100
620,770.0,641.101437486,69200
630,770.0,650.95909426,70300
640,774.0,660.688520897,71400
650,768.0,670.472868309,72500
660,776.0,680.298858627,73600
670,772.0,690.63207832,74700
680,774.0,700.207824624,75800
690,780.0,710.156495237,76900
700,778.0,719.797236984,78000
710,778.0,729.631522826,79100
720,778.0,739.472594207,80200
730,778.0,749.115150112,81300
740,774.0,759.334134831,82400
