iterations,fitness,time,fevals
0,482.0,4.83730000003e-05,11
10,486.0,8.15970000003e-05,21
20,494.0,0.000114464,31
30,500.0,0.000144743,41
40,506.0,0.000193665,51
50,508.0,0.000223683,61
60,510.0,0.000254106,71
70,510.0,0.000280424,81
80,514.0,0.000315656,91
90,520.0,0.000345215,101
100,520.0,0.000407773,111
110,524.0,0.000445457,121
120,526.0,0.0004795,131
130,528.0,0.00050871,141
140,532.0,0.000538114999999,151
150,532.0,0.000565846999999,161
160,538.0,0.00059663,171
170,542.0,0.000626147999999,181
180,542.0,0.000655751,191
190,548.0,0.00068249,201
200,548.0,0.000713235999999,211
210,552.0,0.000742845999999,221
220,554.0,0.000771968999999,231
230,554.0,0.000798917999999,241
240,554.0,0.000828792999999,251
250,556.0,0.000855313999999,261
260,556.0,0.000919066999999,271
270,558.0,0.000945353999999,281
280,560.0,0.000975473999999,291
290,562.0,0.001001407,301
300,564.0,0.001029532,311
310,564.0,0.001057435,321
320,566.0,0.00110923,331
330,566.0,0.001138231,341
340,568.0,0.001168358,351
350,568.0,0.001196342,361
360,570.0,0.001226835,371
370,572.0,0.001280375,381
380,572.0,0.001312156,391
390,576.0,0.001339472,401
400,578.0,0.001383063,411
410,580.0,0.001409503,421
420,582.0,0.001502191,431
430,586.0,0.001533344,441
440,586.0,0.001563527,451
450,588.0,0.001597314,461
460,594.0,0.001627092,471
470,594.0,0.001653736,481
480,594.0,0.00168148,491
490,596.0,0.001707456,501
500,596.0,0.001734177,511
510,600.0,0.001789567,521
520,600.0,0.001825957,531
530,602.0,0.00185288,541
540,604.0,0.001881813,551
550,606.0,0.003296327,561
560,608.0,0.003367796,571
570,612.0,0.00340446,581
580,614.0,0.003433821,591
590,618.0,0.003461763,601
600,622.0,0.00349287,611
610,622.0,0.003522294,621
620,622.0,0.003550571,631
630,626.0,0.003577664,641
640,626.0,0.003606772,651
650,626.0,0.003632016,661
660,630.0,0.003659644,671
670,634.0,0.003687985,681
680,634.0,0.003824508,691
690,634.0,0.003870982,701
700,634.0,0.003901252,711
710,634.0,0.003928804,721
720,636.0,0.00396032,731
730,636.0,0.004005951,741
740,636.0,0.004037337,751
750,638.0,0.004064691,761
760,638.0,0.004093737,771
770,638.0,0.004119229,781
780,640.0,0.004146583,791
790,640.0,0.004174597,801
800,640.0,0.004224971,811
810,640.0,0.004256002,821
820,640.0,0.004317278,831
830,646.0,0.004414338,841
840,648.0,0.004550999,851
850,648.0,0.004604285,861
860,650.0,0.009058287,871
870,650.0,0.009097728,881
880,650.0,0.00913029,891
890,650.0,0.009157007,901
900,650.0,0.009186294,911
910,652.0,0.009212724,921
920,652.0,0.009241987,931
930,652.0,0.009268212,941
940,658.0,0.009311229,951
950,660.0,0.009344999,961
960,660.0,0.009374222,971
970,660.0,0.009448582,981
980,660.0,0.009485762,991
990,660.0,0.00952495,1001
1000,660.0,0.009557403,1011
1010,662.0,0.009583752,1021
1020,662.0,0.009611709,1031
1030,666.0,0.00964004,1041
1040,666.0,0.009669049,1051
1050,666.0,0.00969457,1061
1060,666.0,0.009722724,1071
1070,668.0,0.00974845,1081
1080,668.0,0.009776401,1091
1090,672.0,0.00981043,1101
1100,672.0,0.009839883,1111
1110,674.0,0.009865589,1121
1120,674.0,0.009893304,1131
1130,676.0,0.009967388,1141
1140,680.0,0.009997872,1151
1150,680.0,0.010023997,1161
1160,682.0,0.010052663,1171
1170,682.0,0.010102737,1181
1180,682.0,0.010134619,1191
1190,683.0,0.010160569,1201
1200,683.0,0.010189882,1211
1210,685.0,0.010216641,1221
1220,687.0,0.010245409,1231
1230,687.0,0.010272421,1241
1240,689.0,0.010300612,1251
1250,689.0,0.010340972,1261
1260,691.0,0.010369826,1271
1270,691.0,0.010397772,1281
1280,693.0,0.01042689,1291
1290,693.0,0.010453164,1301
1300,693.0,0.010497239,1311
1310,695.0,0.010538466,1321
1320,697.0,0.01057845,1331
1330,697.0,0.010605211,1341
1340,697.0,0.010632681,1351
1350,697.0,0.010681707,1361
1360,697.0,0.010713536,1371
1370,697.0,0.010755214,1381
1380,697.0,0.010786664,1391
1390,697.0,0.010811722,1401
1400,699.0,0.010842364,1411
1410,699.0,0.010867222,1421
1420,699.0,0.01089395,1431
1430,701.0,0.010919065,1441
1440,701.0,0.01094776,1451
1450,701.0,0.010972799,1461
1460,703.0,0.011000103,1471
1470,703.0,0.011027561,1481
1480,705.0,0.011060762,1491
1490,705.0,0.011087476,1501
1500,705.0,0.011125192,1511
1510,707.0,0.011152977,1521
1520,707.0,0.011181876,1531
1530,707.0,0.011208615,1541
1540,707.0,0.011239259,1551
1550,707.0,0.011279958,1561
1560,707.0,0.011309208,1571
1570,707.0,0.011355513,1581
1580,707.0,0.011400258,1591
1590,707.0,0.011424809,1601
1600,709.0,0.011452764,1611
1610,711.0,0.011479133,1621
1620,711.0,0.011508548,1631
1630,711.0,0.0115345,1641
1640,713.0,0.011561802,1651
1650,713.0,0.011586959,1661
1660,713.0,0.011666852,1671
1670,713.0,0.011691631,1681
1680,713.0,0.011733045,1691
1690,715.0,0.011761846,1701
1700,715.0,0.011806371,1711
1710,715.0,0.011833435,1721
1720,715.0,0.011860816,1731
1730,715.0,0.011886687,1741
1740,717.0,0.011915766,1751
1750,717.0,0.011954121,1761
1760,717.0,0.012010535,1771
1770,717.0,0.019739391,1781
1780,717.0,0.019774439,1791
1790,717.0,0.019805655,1801
1800,717.0,0.019832794,1811
1810,717.0,0.019860554,1821
1820,717.0,0.019887078,1831
1830,717.0,0.019915339,1841
1840,719.0,0.019942228,1851
1850,719.0,0.020034993,1861
1860,719.0,0.020062038,1871
1870,719.0,0.020090573,1881
1880,719.0,0.020114651,1891
1890,721.0,0.020141215,1901
1900,721.0,0.020165586,1911
1910,721.0,0.020198041,1921
1920,725.0,0.020241735,1931
1930,725.0,0.020295483,1941
1940,725.0,0.020323041,1951
1950,725.0,0.020352064,1961
1960,725.0,0.020515791,1971
1970,727.0,0.020544548,1981
1980,727.0,0.02057109,1991
1990,729.0,0.020598286,2001
2000,731.0,0.020625266,2011
2010,731.0,0.020653746,2021
2020,731.0,0.02067913,2031
2030,733.0,0.020708477,2041
2040,733.0,0.020785876,2051
2050,733.0,0.020812962,2061
2060,733.0,0.020837907,2071
2070,733.0,0.020878384,2081
2080,733.0,0.0209044,2091
2090,733.0,0.02093147,2101
2100,733.0,0.020957206,2111
2110,733.0,0.020984665,2121
2120,733.0,0.021010576,2131
2130,733.0,0.021038728,2141
2140,735.0,0.021063925,2151
2150,735.0,0.021091786,2161
2160,737.0,0.021117316,2171
2170,739.0,0.021145256,2181
2180,741.0,0.021185878,2191
2190,741.0,0.021225198,2201
2200,741.0,0.021252409,2211
2210,741.0,0.021286041,2221
2220,741.0,0.021311663,2231
2230,741.0,0.02133906,2241
2240,741.0,0.021364437,2251
2250,741.0,0.021391134,2261
2260,741.0,0.021450746,2271
2270,741.0,0.021506689,2281
2280,741.0,0.021532795,2291
2290,741.0,0.021560443,2301
2300,741.0,0.021596653,2311
2310,741.0,0.021626272,2321
2320,743.0,0.021653492,2331
2330,743.0,0.021680992,2341
2340,743.0,0.0217062,2351
2350,745.0,0.021734908,2361
2360,745.0,0.021765125,2371
2370,745.0,0.021792598,2381
2380,745.0,0.021818902,2391
2390,745.0,0.021847117,2401
2400,745.0,0.021968107,2411
2410,745.0,0.022003114,2421
2420,745.0,0.022029087,2431
2430,745.0,0.022056977,2441
2440,745.0,0.022082692,2451
2450,747.0,0.022124285,2461
2460,747.0,0.022149306,2471
2470,747.0,0.022177348,2481
2480,747.0,0.022202234,2491
2490,747.0,0.022263023,2501
2500,747.0,0.022289912,2511
2510,747.0,0.022317537,2521
2520,747.0,0.022343484,2531
2530,747.0,0.022370045,2541
2540,747.0,0.022395061,2551
2550,747.0,0.022423113,2561
2560,749.0,0.022484597,2571
2570,749.0,0.022511068,2581
2580,749.0,0.02256699,2591
2590,749.0,0.02260122,2601
2600,749.0,0.022627733,2611
2610,749.0,0.022656314,2621
2620,749.0,0.022684253,2631
2630,749.0,0.022713284,2641
2640,749.0,0.022738338,2651
2650,751.0,0.022782586,2661
2660,751.0,0.022810328,2671
2670,751.0,0.022839529,2681
2680,751.0,0.02440987,2691
2690,751.0,0.024439362,2701
2700,751.0,0.024468764,2711
2710,751.0,0.024493351,2721
2720,751.0,0.024558103,2731
2730,751.0,0.02460339,2741
2740,751.0,0.024631747,2751
2750,751.0,0.024672054,2761
2760,753.0,0.024701186,2771
2770,753.0,0.024728137,2781
2780,755.0,0.024754364,2791
2790,755.0,0.024782028,2801
2800,755.0,0.024830748,2811
2810,755.0,0.024858418,2821
2820,755.0,0.024885778,2831
2830,755.0,0.024910803,2841
2840,755.0,0.024987751,2851
2850,757.0,0.025012826,2861
2860,757.0,0.025041162,2871
2870,757.0,0.025070002,2881
2880,757.0,0.025098351,2891
2890,757.0,0.025124804,2901
2900,757.0,0.025152143,2911
2910,757.0,0.025197025,2921
2920,761.0,0.025227594,2931
2930,761.0,0.025284068,2941
2940,763.0,0.025313111,2951
2950,763.0,0.025339323,2961
2960,763.0,0.025383995,2971
2970,763.0,0.02542939,2981
2980,763.0,0.025505354,2991
2990,763.0,0.02553204,3001
3000,763.0,0.025566812,3011
